序號,班級,學號,姓名,GitHub 帳號,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
102,創新AI碩一,112C71913,塴乘若,b3aqukxp9y,1,4,3,5,6,3,6,2,8,7
103,互動碩二,111AC8699,跥恽傾,ns1itj108n,5,3,3,3,2,8,1,9,0,8
104,電資資安碩一,112C53368,璯鏠窦,bgjbm7ei9k,8,2,9,1,8,7,9,0,5,5
105,創新資安碩一,112C72061,踝甽油,1herb3i3dy,6,8,8,1,8,5,0,7,3,8
106,資工三,110590768,须丌婞,dtr089azyt,6,6,6,3,5,4,6,0,8,3
107,二資陸生二,110AEM556,汖屺脳,qjqcmqkf3a,8,0,9,1,6,9,5,4,1,0
108,資工碩一,112598476,儯榛鵌,mptk15wmyi,8,1,7,4,2,3,7,3,4,7
109,資工四,108590953,啋鶡抮,428pht8rfnk,6,3,3,2,5,8,2,2,5,1
110,電資資安碩一,112C53224,糍諼蠌,5j7wft5nnp,5,0,5,2,0,4,9,2,7,6
111,電資AI碩二,111C52189,灮璒溲,w1d8iaym97i,2,5,6,1,8,2,6,3,7,5
112,資工三,110590379,隔蛶鱜,7nx5etvw64,8,2,7,5,9,0,4,6,2,0
113,資工碩二,111598727,愚璾暦,6k722pkjuw,5,0,5,9,7,5,0,8,9,2
114,資工三,110590359,醤痖缘,0rhud6ur2i,7,6,3,5,9,5,3,2,7,9
115,創新資安碩一,112C72607,娂銊鴮,xkmj1ixn96,0,8,4,7,7,3,3,0,3,2
116,資工碩三,110598245,詖悵麳,seutqwa9mt,3,3,3,3,0,2,0,9,9,5
117,資工四,108590336,畡孕粰,z0102h8qr1,2,7,5,0,2,9,4,9,6,6
118,電資三,110820632,凅桟乢,gou5agnvfz,9,5,7,5,8,8,9,1,0,8
119,二資港生二,110AEM717,汾讧厐,h6ffiarw0f,4,0,7,1,7,0,5,4,1,1
120,電資AI碩二,111C52109,糅芖岋,noke8vo3e6h,9,2,1,8,4,9,1,5,9,6
